Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
ACC,101,1,1,10471,ACCOUNTING I,,,38,0,Noel Garrett,4,T R,1025-1140,,,-,,,-,,.
ACC,201,1,1,10472,ACCOUNTING II,,,38,0,Noel Garrett,4,T R,0900-1015,,,-,,,-,,.
AFR,165,1,1,10368,AFRO-CARIBBEAN DANCE I,,Y,38,0,Rosemarie Roberts,4,M W,1315-1430,CRO   MYERS,,-,,,-,,.
AFR,202,1,1,10535,CC: AFRICANA STUDIES MATTER,,Y,38,0,David Canton,4,T R,1315-1430,,,-,,,-,,.
AFR,208,1,1,10598,RACE/GENDER AND THE MASS MEDIA,,Y,28,0,Cherise Harris,4,T R,1445-1600,,,-,,,-,,.
AFR,224,1,1,10599,"HUMAN RIGHTS, MEDIA & ACTIVISM",,Y,28,0,Tristan Borer,4,T R,1150-1305,,,-,,,-,,.
AFR,260,1,1,10511,ANTHROPOLOGY OF THE CARIBBEAN,,Y,28,0,Catherine Benoit,4,T R,1025-1140,,,-,,,-,,.
AFR,304,1,1,10090,HIST OF HIP HOP MUSIC & CULTUR,,Y,18,0,David Canton,4,T R,0900-1015,,,-,,,-,,.
AFR,379,1,1,10586,BLACK POETICS,,Y,18,0,Hubert Cook,4,M W,1315-1430,,,-,,,-,,.
ASL,101,1,1,10006,ELEM AMERICAN SIGN LANGUAGE I,,,28,0,. To Be Assigned,4,M W F,1315-1405,,,-,,,-,,.
AMS,231,1,1,10503,USA PLAYS/AMERICAN DRAMA,,Y,18,0,Ken Prestininzi,4,M W,1315-1430,,,-,,,-,,.
AMS,232,1,1,10589,DISABILITY JUSTICE,,Y,25,0,Karen Hanna,4,T R,1025-1140,,,-,,,-,,.
AMS,253,1,1,10113,CHINESE AMERICAN LITERATURE,,Y,28,0,Yibing Huang,4,T R,1445-1600,,,-,,,-,,.
AMS,276,1,1,10601,CC:PRESIDNCY:WHITE HOUSE 20500,,Y,28,0,MaryAnne Borrelli,4,M   F,1150-1305,,,-,,,-,,.
AMS,379,1,1,10585,BLACK POETICS,,Y,18,0,Hubert Cook,4,M W,1315-1430,,,-,,,-,,.
AMS,428,1,1,10095,DEBATING CHINA'S GLOBALIZATION,,Y,16,0,Sarah Queen,4,T R,1315-1430,,,-,,,-,,.
AMS,465,1,1,10098,GLOBALZTN & AM CUL SINCE 1945,,Y,16,0,Catherine Stock,4,T,1315-1600,,,-,,,-,,.
ANT,103,1,1,10520,"GENDER, SEXUALITY, AND INTESEC",,Y,28,0,Ariella Rotramel,4,T R,1445-1600,,,-,,,-,,.
ANT,114,1,1,10258,CC: POWER AND INEQUALITY,,,28,0,Joyce Bennett,4,M W,1025-1140,,,-,,,-,,.
ANT,117,1,1,10304,CC:COEVOLUTION PLANTS & PEOPLE,,Y,28,0,Manuel Lizarralde,4,T R,1025-1140,,,-,,,-,,.
ANT,166,1,1,10369,AFRO-CARIBBEAN DANCE I,,Y,38,0,Rosemarie Roberts,4,M W,1315-1430,CRO   MYERS,,-,,,-,,.
ANT,206,1,1,10062,INTRODUCTION TO AFRICAN ART,,Y,35,0,Christopher Steiner,4,T R,1025-1140,CUM   307,,-,,,-,,.
ANT,207,1,1,10602,SEM: INDIG USE TROP RAINFOREST,,Y,12,0,Manuel Lizarralde,4,W,1315-1600,,,-,,,-,,.
