SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
AFR,165,202110,10368,202110,10368,A5,2020/02/24
AFR,165,202110,10368,202110,10368,MOIA,2020/02/24
AFR,202,202110,10535,202110,10535,A3,2020/03/06
AFR,202,202110,10535,202110,10535,CC,2020/03/06
AFR,202,202110,10535,202110,10535,MOIB,2020/03/06
AFR,202,202110,10535,202110,10535,MOIE,2020/03/06
AFR,202,202110,10535,202110,10535,W,2020/03/06
AFR,208,202110,10598,202110,10598,MOIE,2020/06/09
AFR,224,202110,10599,202110,10599,A3,2020/06/09
AFR,224,202110,10599,202110,10599,MOIE,2020/06/09
AFR,224,202110,10599,202110,10599,W,2020/06/09
AFR,260,202110,10511,202110,10511,MOIE,2020/03/04
AFR,304,202110,10090,202110,10090,MOIB,2020/02/04
AFR,304,202110,10090,202110,10090,MOIE,2020/02/04
AFR,304,202110,10090,202110,10090,W,2020/02/04
AFR,379,202110,10586,202110,10586,MOIB,2020/03/27
AFR,379,202110,10586,202110,10586,MOIE,2020/03/27
AFR,379,202110,10586,202110,10586,W,2020/03/27
AHI,101,202110,10054,202110,10054,A7,2020/01/30
AHI,101,202110,10054,202110,10054,MOIE,2020/01/30
AHI,103,202110,10055,202110,10055,A7,2020/01/30
AHI,103,202110,10055,202110,10055,CC,2020/01/30
AHI,103,202110,10055,202110,10055,MOIB,2020/01/30
AHI,103,202110,10055,202110,10055,MOIE,2020/01/30
AHI,103,202110,10057,202110,10057,A7,2020/01/30
AHI,103,202110,10057,202110,10057,CC,2020/01/30
AHI,103,202110,10057,202110,10057,MOIB,2020/01/30
AHI,103,202110,10057,202110,10057,MOIE,2020/01/30
AHI,105,202110,10059,202110,10059,A7,2020/01/30
AHI,105,202110,10059,202110,10059,CC,2020/01/30
AHI,105,202110,10059,202110,10059,MOIB,2020/01/30
AHI,105,202110,10059,202110,10059,MOIE,2020/01/30
AHI,203,202110,10063,202110,10063,A7,2020/01/30
AHI,203,202110,10063,202110,10063,MOIE,2020/01/30
AHI,206,202110,10061,202110,10061,A7,2020/01/30
AHI,206,202110,10061,202110,10061,MOIB,2020/03/30
AHI,206,202110,10061,202110,10061,MOIE,2020/01/30
AHI,206,202110,10061,202110,10061,W,2020/01/30
AHI,225,202110,10065,202110,10065,MOIE,2020/06/09
AHI,225,202110,10065,202110,10065,W,2020/06/09
AHI,283,202110,10068,202110,10068,MOIB,2020/01/30
AHI,404,202110,10577,202110,10577,MOIB,2020/03/30
AHI,404,202110,10577,202110,10577,MOIE,2020/03/30
AHI,413,202110,10070,202110,10070,ADVS,2020/01/30
AHI,413,202110,10070,202110,10070,W,2020/01/30
AHI,496,202110,10071,202110,10071,W,2020/01/30
AMS,232,202110,10589,202110,10589,MOIE,2020/04/02
AMS,232,202110,10589,202110,10589,SDP,2020/04/02
AMS,253,202110,10113,202110,10113,A4,2020/02/07
AMS,253,202110,10113,202110,10113,MOIB,2020/02/07
AMS,253,202110,10113,202110,10113,MOIE,2020/02/07
AMS,253,202110,10113,202110,10113,W,2020/02/07
AMS,276,202110,10601,202110,10601,CC,2020/06/12
AMS,276,202110,10601,202110,10601,MOIE,2020/06/12
AMS,276,202110,10601,202110,10601,W,2020/06/12
AMS,379,202110,10585,202110,10585,MOIB,2020/03/27
AMS,379,202110,10585,202110,10585,MOIE,2020/03/27
AMS,379,202110,10585,202110,10585,W,2020/03/27
AMS,423,202110,10093,202110,10093,MOIE,2020/02/04
AMS,423,202110,10093,202110,10093,W,2020/02/04
AMS,428,202110,10095,202110,10095,A7,2020/02/04
AMS,428,202110,10095,202110,10095,MOIE,2020/02/04
AMS,428,202110,10095,202110,10095,W,2020/02/04
AMS,465,202110,10098,202110,10098,ADVS,2020/02/04
AMS,465,202110,10098,202110,10098,MOIB,2020/02/04
AMS,465,202110,10098,202110,10098,MOIE,2020/02/04
AMS,465,202110,10098,202110,10098,W,2020/02/04
ANT,103,202110,10520,202110,10520,A3,2020/03/05
ANT,103,202110,10520,202110,10520,MOIE,2020/03/05
ANT,114,202110,10258,202110,10258,A3,2020/02/17
ANT,114,202110,10258,202110,10258,CC,2020/02/17
ANT,114,202110,10258,202110,10258,MOIE,2020/02/17
ANT,114,202110,10260,202110,10260,A3,2020/02/17
ANT,114,202110,10260,202110,10260,CC,2020/02/17
ANT,114,202110,10260,202110,10260,MOIE,2020/02/17
ANT,117,202110,10304,202110,10304,A3,2020/02/18
ANT,117,202110,10304,202110,10304,CC,2020/02/18
ANT,117,202110,10304,202110,10304,MOIE,2020/02/18
ANT,166,202110,10369,202110,10369,A5,2020/02/24
ANT,166,202110,10369,202110,10369,MOIA,2020/02/24
ANT,206,202110,10062,202110,10062,A7,2020/01/30
ANT,206,202110,10062,202110,10062,MOIB,2020/03/30
ANT,206,202110,10062,202110,10062,MOIE,2020/01/30
ANT,206,202110,10062,202110,10062,W,2020/01/30
ANT,220,202110,10262,202110,10262,MOIE,2020/02/17
ANT,234,202110,10311,202110,10311,A3,2020/02/18
ANT,234,202110,10311,202110,10311,MOIB,2020/02/18
ANT,234,202110,10311,202110,10311,MOIE,2020/02/18
ANT,234,202110,10311,202110,10311,W,2020/02/18
ANT,256,202110,10508,202110,10508,A3,2020/03/04
ANT,256,202110,10508,202110,10508,MOIE,2020/03/04
ANT,256,202110,10508,202110,10508,W,2020/03/04
